column,dtype,missing_count,missing_pct,unique_count,is_constant,mean,std,min,max
Attribute 1,float64,6,0.38,1520,False,3014.4529,73.6218,2743.24,3356.35
Attribute 2,float64,7,0.45,1504,False,2495.8502,80.4077,2158.75,2846.44
Attribute 3,float64,14,0.89,507,False,2200.5473,29.5132,2060.66,2315.2667
Attribute 4,float64,14,0.89,518,False,1396.3766,441.6916,0.0,3715.0417
Attribute 5,float64,14,0.89,503,False,4.197,56.3555,0.6815,1114.5366
Attribute 6,float64,14,0.89,1,True,100.0,0.0,100.0,100.0
Attribute 7,float64,14,0.89,510,False,101.1129,6.2372,82.1311,129.2522
Attribute 8,float64,9,0.57,89,False,0.1218,0.009,0.0,0.1286
Attribute 9,float64,2,0.13,1208,False,1.4629,0.0739,1.191,1.6564
Attribute 10,float64,2,0.13,568,False,-0.0008,0.0151,-0.0534,0.0749
Attribute 11,float64,2,0.13,392,False,0.0001,0.0093,-0.0349,0.053
Attribute 12,float64,2,0.13,378,False,0.9644,0.0125,0.6554,0.9848
Attribute 13,float64,2,0.13,1547,False,199.9568,3.2573,182.094,272.0451
Attribute 14,float64,3,0.19,1,True,0.0,0.0,0.0,0.0
Attribute 15,float64,3,0.19,1555,False,9.0054,2.7966,2.2493,19.5465
Attribute 16,float64,3,0.19,1561,False,413.086,17.2211,333.4486,824.9271
Attribute 17,float64,3,0.19,1477,False,9.9076,2.4039,4.4696,102.8677
Attribute 18,float64,3,0.19,281,False,0.9714,0.0121,0.5794,0.9848
Attribute 19,float64,3,0.19,1548,False,190.0474,2.781,169.1774,215.5977
Attribute 20,float64,10,0.64,361,False,12.481,0.218,9.8773,12.9898
Attribute 21,float64,0,0.0,552,False,1.4051,0.0167,1.1797,1.4534
Attribute 22,float64,2,0.13,1295,False,-5618.3936,626.8222,-7150.25,0.0
Attribute 23,float64,2,0.13,1176,False,2699.3784,295.4985,0.0,3656.25
Attribute 24,float64,2,0.13,1480,False,-3806.2997,1380.1621,-9986.75,2363.0
Attribute 25,float64,2,0.13,1494,False,-298.5981,2902.6901,-14804.5,14106.0
Attribute 26,float64,2,0.13,704,False,1.2038,0.1776,0.0,1.3828
Attribute 27,float64,2,0.13,624,False,1.9385,0.1895,0.0,2.0528
Attribute 28,float64,2,0.13,1148,False,6.6386,1.2442,0.0,7.6588
Attribute 29,float64,2,0.13,869,False,69.4995,3.4612,59.4,77.9
Attribute 30,float64,2,0.13,188,False,2.3662,0.4087,0.6667,3.5111
