column,unique_values
Attribute 6,1
Attribute 14,1
Attribute 43,1
Attribute 50,1
Attribute 53,1
Attribute 70,1
Attribute 98,1
Attribute 142,1
Attribute 150,1
Attribute 179,1
Attribute 180,1
Attribute 187,1
Attribute 190,1
Attribute 191,1
Attribute 192,1
Attribute 193,1
Attribute 194,1
Attribute 195,1
Attribute 227,1
Attribute 230,1
Attribute 231,1
Attribute 232,1
Attribute 233,1
Attribute 234,1
Attribute 235,1
Attribute 236,1
Attribute 237,1
Attribute 238,1
Attribute 241,1
Attribute 242,1
Attribute 243,1
Attribute 244,1
Attribute 257,1
Attribute 258,1
Attribute 259,1
Attribute 260,1
Attribute 261,1
Attribute 262,1
Attribute 263,1
Attribute 264,1
Attribute 265,1
Attribute 266,1
Attribute 267,1
Attribute 277,1
Attribute 285,1
Attribute 314,1
Attribute 315,1
Attribute 316,1
Attribute 323,1
Attribute 326,1
Attribute 327,1
Attribute 328,1
Attribute 329,1
Attribute 330,1
Attribute 331,1
Attribute 365,1
Attribute 370,1
Attribute 371,1
Attribute 372,1
Attribute 373,1
Attribute 374,1
Attribute 375,1
Attribute 376,1
Attribute 379,1
Attribute 380,1
Attribute 381,1
Attribute 382,1
Attribute 395,1
Attribute 396,1
Attribute 397,1
Attribute 398,1
Attribute 399,1
Attribute 400,1
Attribute 401,1
Attribute 402,1
Attribute 403,1
Attribute 404,1
Attribute 405,1
Attribute 415,1
Attribute 423,1
Attribute 450,1
Attribute 451,1
Attribute 452,1
Attribute 459,1
Attribute 462,1
Attribute 463,1
Attribute 464,1
Attribute 465,1
Attribute 466,1
Attribute 467,1
Attribute 482,1
Attribute 499,1
Attribute 502,1
Attribute 503,1
Attribute 504,1
Attribute 505,1
Attribute 506,1
Attribute 507,1
Attribute 508,1
Attribute 509,1
Attribute 510,1
Attribute 513,1
Attribute 514,1
Attribute 515,1
Attribute 516,1
Attribute 529,1
Attribute 530,1
Attribute 531,1
Attribute 532,1
Attribute 533,1
Attribute 534,1
Attribute 535,1
Attribute 536,1
Attribute 537,1
Attribute 538,1
Attribute 539,1
