column,missing_count,missing_pct
Attribute 158,1429,91.19
Attribute 159,1429,91.19
Attribute 294,1429,91.19
Attribute 293,1429,91.19
Attribute 493,1341,85.58
Attribute 359,1341,85.58
Attribute 86,1341,85.58
Attribute 221,1341,85.58
Attribute 111,1018,64.96
Attribute 245,1018,64.96
Attribute 110,1018,64.96
Attribute 112,1018,64.96
Attribute 518,1018,64.96
Attribute 519,1018,64.96
Attribute 247,1018,64.96
Attribute 246,1018,64.96
Attribute 384,1018,64.96
Attribute 385,1018,64.96
Attribute 517,1018,64.96
Attribute 383,1018,64.96
Attribute 581,949,60.56
Attribute 582,949,60.56
Attribute 579,949,60.56
Attribute 580,949,60.56
Attribute 74,794,50.67
Attribute 73,794,50.67
Attribute 346,794,50.67
Attribute 347,794,50.67
