,0
Attribute 294,1429
Attribute 293,1429
Attribute 159,1429
Attribute 158,1429
Attribute 493,1341
Attribute 221,1341
Attribute 359,1341
Attribute 86,1341
Attribute 245,1018
Attribute 110,1018
Attribute 384,1018
Attribute 383,1018
Attribute 519,1018
Attribute 517,1018
Attribute 518,1018
Attribute 111,1018
Attribute 112,1018
Attribute 247,1018
Attribute 246,1018
Attribute 385,1018
Attribute 582,949
Attribute 579,949
Attribute 580,949
Attribute 581,949
Attribute 73,794
Attribute 346,794
Attribute 347,794
Attribute 74,794
Attribute 386,715
Attribute 113,715
Attribute 248,715
Attribute 520,715
Attribute 567,273
Attribute 563,273
Attribute 565,273
Attribute 566,273
Attribute 570,273
Attribute 564,273
Attribute 568,273
Attribute 569,273
Attribute 552,260
Attribute 557,260
Attribute 556,260
Attribute 554,260
Attribute 547,260
Attribute 548,260
Attribute 550,260
Attribute 551,260
Attribute 549,260
Attribute 558,260
Attribute 555,260
Attribute 553,260
Attribute 497,51
Attribute 90,51
Attribute 91,51
Attribute 363,51
Attribute 225,51
Attribute 226,51
Attribute 364,51
Attribute 498,51
Attribute 41,24
Attribute 42,24
Attribute 392,24
Attribute 354,24
Attribute 351,24
Attribute 451,24
Attribute 349,24
Attribute 350,24
Attribute 353,24
Attribute 352,24
Attribute 450,24
Attribute 254,24
Attribute 485,24
Attribute 355,24
Attribute 356,24
Attribute 314,24
Attribute 315,24
Attribute 483,24
Attribute 484,24
Attribute 80,24
Attribute 77,24
Attribute 214,24
Attribute 215,24
Attribute 217,24
Attribute 216,24
Attribute 218,24
Attribute 76,24
Attribute 488,24
Attribute 489,24
Attribute 79,24
Attribute 78,24
Attribute 82,24
Attribute 81,24
Attribute 83,24
Attribute 486,24
Attribute 490,24
Attribute 487,24
Attribute 119,24
Attribute 526,24
Attribute 213,24
Attribute 212,24
Attribute 211,24
Attribute 179,24
Attribute 6,14
Attribute 3,14
Attribute 7,14
Attribute 4,14
Attribute 413,14
Attribute 414,14
Attribute 415,14
Attribute 412,14
Attribute 416,14
Attribute 142,14
Attribute 141,14
Attribute 139,14
Attribute 143,14
Attribute 140,14
Attribute 278,14
Attribute 277,14
Attribute 5,14
Attribute 274,14
Attribute 275,14
Attribute 276,14
Attribute 492,12
Attribute 220,12
Attribute 358,12
Attribute 85,12
Attribute 20,10
Attribute 429,10
Attribute 291,10
Attribute 156,10
Attribute 404,9
Attribute 405,9
Attribute 403,9
Attribute 129,9
Attribute 396,9
